stencil type,nx,ny,nz,Elapsed Time,Validation
laplacian,10,10,10,4.100799560546875e-05,-
laplacian,10,10,10,2.47955322265625e-05,True
laplacian,10,10,10,2.5033950805664062e-05,True
laplacian_numba,10,10,10,1.3828277587890625e-05,True
laplacian_numba,10,10,10,1.3113021850585938e-05,True
laplacian_numba,10,10,10,1.2874603271484375e-05,True
laplacian_numbaloop,10,10,10,1.0967254638671875e-05,True
laplacian_numbaloop,10,10,10,1.0967254638671875e-05,True
laplacian_numbaloop,10,10,10,1.0967254638671875e-05,True
